Start,End,Sif,SrcIPaddress,SrcP,DIf,DstIPaddress,DstP,P,Fl,Pkts,Octets
0416.05:21:44.514,0416.05:21:44.559,0,192.168.0.107,6292,0,68.105.29.11,53,17,0,1,75
0416.05:22:00.936,0416.05:22:00.950,0,192.168.0.107,50093,0,68.105.29.11,53,17,0,1,60
0416.05:21:57.694,0416.05:21:57.711,0,192.168.0.107,16480,0,68.105.29.11,53,17,0,1,61
0416.05:21:14.512,0416.05:21:45.236,0,192.168.0.107,0,0,68.105.28.12,771,1,0,2,271
0416.05:21:29.511,0416.05:22:11.770,0,192.168.0.107,60768,0,104.17.24.14,443,6,3,17,2017
0416.05:21:08.027,0416.05:22:11.769,0,192.168.0.107,33120,0,151.101.66.133,443,6,7,17,2054
0416.05:21:30.883,0416.05:21:30.894,0,192.168.0.107,43095,0,68.105.29.11,53,17,0,1,63
0416.05:21:29.223,0416.05:21:29.234,0,192.168.0.107,33206,0,68.105.29.11,53,17,0,1,66
0416.05:21:51.310,0416.05:22:11.766,0,192.168.0.107,43256,0,142.250.217.142,443,6,3,16,2203
0416.05:21:08.515,0416.05:21:08.542,0,192.168.0.107,46676,0,68.105.28.11,53,17,0,1,70
0416.05:21:15.507,0416.05:21:15.526,0,192.168.0.107,39860,0,68.105.29.11,53,17,0,1,72
0416.05:21:10.131,0416.05:21:10.150,0,192.168.0.107,32470,0,68.105.29.11,53,17,0,1,67
0416.05:21:59.261,0416.05:21:59.277,0,192.168.0.107,24619,0,68.105.29.11,53,17,0,1,73
0416.05:21:30.458,0416.05:21:30.474,0,192.168.0.107,46802,0,68.105.29.11,53,17,0,1,63
0416.05:21:50.080,0416.05:21:50.097,0,192.168.0.107,30872,0,68.105.29.11,53,17,0,1,58
0416.05:21:30.746,0416.05:22:11.829,0,192.168.0.107,42234,0,44.219.39.64,443,6,3,15,2209
0416.05:21:59.159,0416.05:22:11.748,0,192.168.0.107,55580,0,142.251.40.34,443,6,3,71,5135
0416.05:21:30.621,0416.05:21:30.636,0,192.168.0.107,26819,0,68.105.29.11,53,17,0,1,65
0416.05:21:51.675,0416.05:22:11.756,0,192.168.0.107,58544,0,184.28.253.28,443,6,7,27,3959
0416.05:21:14.695,0416.05:21:14.712,0,192.168.0.107,41743,0,68.105.29.11,53,17,0,1,60
0416.05:21:47.144,0416.05:22:03.535,0,192.168.0.107,45916,0,104.254.150.241,443,6,3,25,3398
0416.05:21:30.621,0416.05:21:30.639,0,192.168.0.107,47320,0,68.105.29.11,53,17,0,1,65
0416.05:21:49.034,0416.05:22:11.777,0,192.168.0.107,55988,0,142.250.176.10,443,6,3,59,4428
0416.05:21:51.033,0416.05:21:51.056,0,192.168.0.107,9765,0,68.105.29.11,53,17,0,1,65
0416.05:20:55.677,0416.05:20:55.695,0,192.168.0.107,53685,0,68.105.29.11,53,17,0,1,72
0416.05:21:50.187,0416.05:21:50.214,0,192.168.0.107,34118,0,68.105.29.11,53,17,0,1,60
0416.05:21:24.960,0416.05:22:11.768,0,192.168.0.107,50202,0,18.238.85.54,443,6,3,29,3536
0416.05:21:16.064,0416.05:21:16.079,0,192.168.0.107,50039,0,68.105.29.11,53,17,0,1,65
0416.05:21:29.229,0416.05:21:29.253,0,192.168.0.107,58479,0,68.105.29.11,53,17,0,1,63
0416.05:21:53.329,0416.05:21:53.343,0,192.168.0.107,53716,0,68.105.29.11,53,17,0,1,59
0416.05:21:51.644,0416.05:21:51.661,0,192.168.0.107,21679,0,68.105.29.11,53,17,0,1,62
0416.05:21:24.254,0416.05:21:24.278,0,192.168.0.107,37203,0,68.105.29.11,53,17,0,1,60
0416.05:20:57.600,0416.05:22:11.778,0,192.168.0.107,44570,0,172.217.14.67,80,6,3,13,1124
0416.05:21:49.385,0416.05:21:49.400,0,192.168.0.107,64224,0,68.105.29.11,53,17,0,1,60
0416.05:21:28.056,0416.05:21:28.095,0,192.168.0.107,52915,0,68.105.29.11,53,17,0,1,53
0416.05:21:52.061,0416.05:21:52.079,0,192.168.0.107,24045,0,68.105.29.11,53,17,0,1,62
0416.05:21:19.659,0416.05:21:19.705,0,192.168.0.107,54656,0,68.105.29.11,53,17,0,1,68
0416.05:21:28.346,0416.05:21:28.400,0,192.168.0.107,33800,0,151.101.131.5,80,6,3,6,633
0416.05:21:57.570,0416.05:21:57.626,0,192.168.0.107,59578,0,151.101.1.164,80,6,3,5,585
0416.05:21:58.256,0416.05:22:11.750,0,192.168.0.107,57844,0,199.232.153.164,443,6,7,20,3879
0416.05:21:49.378,0416.05:21:49.394,0,192.168.0.107,26616,0,68.105.29.11,53,17,0,1,66
0416.05:21:54.202,0416.05:21:54.222,0,192.168.0.107,20219,0,68.105.29.11,53,17,0,1,59
0416.05:21:54.375,0416.05:21:54.403,0,192.168.0.107,17051,0,68.105.29.11,53,17,0,1,65
0416.05:21:54.460,0416.05:22:11.979,0,192.168.0.107,44160,0,142.250.217.130,443,6,3,22,4600
0416.05:21:08.523,0416.05:21:08.551,0,192.168.0.107,13089,0,68.105.29.11,53,17,0,1,67
0416.05:21:49.386,0416.05:21:49.406,0,192.168.0.107,35487,0,68.105.29.11,53,17,0,1,66
0416.05:21:44.963,0416.05:22:00.343,0,192.168.0.107,42766,0,104.247.81.50,80,6,3,6,1084
0416.05:20:55.805,0416.05:21:01.813,0,192.168.0.107,59560,0,23.55.241.138,80,6,3,4,216
0416.05:22:49.782,0416.05:22:49.789,0,192.168.0.107,37330,0,192.168.0.203,20,6,2,1,44
0416.05:21:30.723,0416.05:21:30.744,0,192.168.0.107,24451,0,68.105.29.11,53,17,0,1,64
0416.05:21:10.372,0416.05:21:10.386,0,192.168.0.107,5272,0,68.105.29.11,53,17,0,1,65
0416.05:21:24.960,0416.05:21:25.049,0,192.168.0.107,50200,0,18.238.85.54,443,6,3,12,1467
0416.05:21:58.234,0416.05:21:58.249,0,192.168.0.107,2746,0,68.105.29.11,53,17,0,1,65
0416.05:21:14.838,0416.05:21:20.027,0,192.168.0.107,44554,0,192.229.211.108,80,6,3,4,216
0416.05:21:23.208,0416.05:21:23.230,0,192.168.0.107,38404,0,68.105.29.11,53,17,0,1,62
0416.05:21:47.126,0416.05:21:47.144,0,192.168.0.107,57549,0,68.105.29.11,53,17,0,1,62
0416.05:21:09.673,0416.05:21:09.703,0,192.168.0.107,44763,0,68.105.29.11,53,17,0,1,77
0416.05:21:52.970,0416.05:21:52.990,0,192.168.0.107,64529,0,68.105.29.11,53,17,0,1,76
0416.05:21:23.195,0416.05:21:23.214,0,192.168.0.107,50078,0,68.105.29.11,53,17,0,1,80
0416.05:21:10.151,0416.05:22:11.799,0,192.168.0.107,58560,0,104.244.42.133,443,6,7,17,2550
0416.05:21:19.621,0416.05:21:19.661,0,192.168.0.107,21619,0,68.105.29.11,53,17,0,1,63
0416.05:22:49.780,0416.05:22:49.789,0,192.168.0.107,37330,0,192.168.0.203,7,6,2,1,44
0416.05:21:53.053,0416.05:22:11.760,0,192.168.0.107,49472,0,107.178.244.119,443,6,3,26,3438
0416.05:21:54.190,0416.05:21:54.206,0,192.168.0.107,28617,0,68.105.29.11,53,17,0,1,70
0416.05:21:09.991,0416.05:21:10.011,0,192.168.0.107,20707,0,68.105.29.11,53,17,0,1,58
0416.05:21:23.184,0416.05:22:11.777,0,192.168.0.107,34222,0,34.160.90.233,443,6,3,27,5788
0416.05:21:50.069,0416.05:21:50.088,0,192.168.0.107,47852,0,68.105.29.11,53,17,0,1,65
0416.05:21:22.290,0416.05:21:22.336,0,192.168.0.107,25816,0,68.105.29.11,53,17,0,1,69
0416.05:22:08.271,0416.05:22:08.290,0,192.168.0.107,57161,0,68.105.28.11,53,17,0,1,61
0416.05:21:57.901,0416.05:21:57.914,0,192.168.0.107,51931,0,68.105.29.11,53,17,0,1,62
0416.05:21:29.231,0416.05:21:29.253,0,192.168.0.107,62644,0,68.105.29.11,53,17,0,1,66
0416.05:21:50.081,0416.05:21:50.097,0,192.168.0.107,61730,0,68.105.29.11,53,17,0,1,58
0416.05:21:49.653,0416.05:22:11.777,0,192.168.0.107,59414,0,142.250.188.238,443,6,3,69,5265
0416.05:20:55.282,0416.05:22:11.777,0,192.168.0.107,35582,0,34.160.46.54,443,6,3,22,2388
0416.05:21:15.533,0416.05:21:15.548,0,192.168.0.107,1670,0,68.105.29.11,53,17,0,1,70
0416.05:22:00.293,0416.05:22:11.768,0,192.168.0.107,38534,0,18.238.85.87,443,6,3,27,2659
0416.05:21:08.514,0416.05:21:08.529,0,192.168.0.107,45277,0,68.105.29.11,53,17,0,1,55
0416.05:22:49.969,0416.05:22:49.982,0,192.168.0.107,37330,0,192.168.0.203,8,6,2,1,44
0416.05:22:49.971,0416.05:22:49.982,0,192.168.0.107,37330,0,192.168.0.203,16,6,2,1,44
0416.05:21:09.991,0416.05:21:10.013,0,192.168.0.107,42901,0,68.105.29.11,53,17,0,1,58
0416.05:21:07.967,0416.05:21:07.985,0,192.168.0.107,43414,0,68.105.29.11,53,17,0,1,53
0416.05:21:11.888,0416.05:21:11.900,0,192.168.0.107,3831,0,68.105.29.11,53,17,0,1,69
0416.05:21:52.662,0416.05:21:52.672,0,192.168.0.107,18743,0,68.105.29.11,53,17,0,1,60
0416.05:21:18.780,0416.05:21:18.795,0,192.168.0.107,19369,0,68.105.29.11,53,17,0,1,57
0416.05:21:58.321,0416.05:21:58.333,0,192.168.0.107,5040,0,68.105.29.11,53,17,0,1,81
0416.05:21:50.525,0416.05:22:11.810,0,192.168.0.107,34156,0,54.148.104.94,443,6,3,14,1881
0416.05:21:52.745,0416.05:21:52.769,0,192.168.0.107,31351,0,68.105.29.11,53,17,0,1,70
0416.05:21:51.632,0416.05:22:11.762,0,192.168.0.107,58812,0,142.251.2.157,443,6,3,34,4094
0416.05:21:19.915,0416.05:22:11.767,0,192.168.0.107,40284,0,18.155.173.112,443,6,3,92,7168
0416.05:21:19.646,0416.05:21:19.661,0,192.168.0.107,57556,0,68.105.29.11,53,17,0,1,60
0416.05:21:53.304,0416.05:21:53.317,0,192.168.0.107,63396,0,68.105.29.11,53,17,0,1,70
0416.05:22:49.971,0416.05:22:49.982,0,192.168.0.107,37330,0,192.168.0.203,5,6,2,1,44
0416.05:21:11.578,0416.05:21:11.595,0,192.168.0.107,45488,0,68.105.29.11,53,17,0,1,65
0416.05:21:49.387,0416.05:21:49.406,0,192.168.0.107,33892,0,68.105.29.11,53,17,0,1,66
0416.05:21:08.515,0416.05:21:08.542,0,192.168.0.107,46676,0,68.105.29.11,53,17,0,1,70
0416.05:21:47.725,0416.05:22:11.767,0,192.168.0.107,36116,0,18.155.173.104,443,6,3,138,13594
0416.05:21:59.202,0416.05:21:59.217,0,192.168.0.107,33750,0,68.105.29.11,53,17,0,1,60
0416.05:22:49.968,0416.05:22:49.982,0,192.168.0.107,37330,0,192.168.0.203,11,6,2,1,44
0416.05:21:43.383,0416.05:21:43.406,0,192.168.0.107,62712,0,68.105.29.11,53,17,0,1,79
0416.05:21:28.420,0416.05:21:28.438,0,192.168.0.107,46189,0,68.105.29.11,53,17,0,1,57
